,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.927777777777778,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.913978494623656,0.942528735632184,0.944444444444444,0.911111111111111,0.92896174863388,0.926553672316384
1,0.877777777777778,0.55,0.444444444444444,0.636363636363636,0.5,0.583333333333333,0.470588235294118,0.608695652173913,0.906976744186046,0.851063829787234,0.847826086956522,0.909090909090909,0.876404494382022,0.879120879120879
2,0.883333333333333,0.45,0.666666666666667,0.357142857142857,0.307692307692308,0.714285714285714,0.421052631578947,0.476190476190476,0.875,0.891304347826087,0.885057471264368,0.881720430107527,0.88,0.886486486486486
3,0.855555555555556,0.65,0.5,0.8,0.714285714285714,0.615384615384615,0.588235294117647,0.695652173913043,0.845360824742268,0.867469879518072,0.881720430107527,0.827586206896552,0.863157894736842,0.847058823529412
4,0.911111111111111,0.4,0.357142857142857,0.5,0.625,0.25,0.454545454545455,0.333333333333333,0.922222222222222,0.9,0.902173913043478,0.920454545454545,0.912087912087912,0.910112359550562
5,0.905555555555556,0.45,0.714285714285714,0.307692307692308,0.357142857142857,0.666666666666667,0.476190476190476,0.421052631578947,0.925925925925926,0.888888888888889,0.872093023255814,0.936170212765957,0.898203592814371,0.911917098445596
6,0.933333333333333,0.2,0.25,0.125,0.3,0.1,0.272727272727273,0.111111111111111,0.923913043478261,0.943181818181818,0.944444444444444,0.922222222222222,0.934065934065934,0.932584269662922
7,0.927777777777778,0.6,0.555555555555556,0.636363636363636,0.555555555555556,0.636363636363636,0.555555555555556,0.636363636363636,0.897959183673469,0.963414634146341,0.967032967032967,0.887640449438202,0.931216931216931,0.923976608187134
8,0.9,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.891304347826087,0.909090909090909,0.911111111111111,0.888888888888889,0.901098901098901,0.898876404494382
9,0.905555555555556,0.55,0.6,0.5,0.545454545454545,0.555555555555556,0.571428571428571,0.526315789473684,0.9,0.911111111111111,0.910112359550562,0.901098901098901,0.905027932960894,0.906077348066298
mean,0.9027777777777779,0.495,0.5188095238095237,0.4962562437562437,0.500513098013098,0.5221589521589521,0.49103234914380434,0.49087148041381434,0.9002640786677935,0.9068054154182645,0.9066016251211236,0.8985983877074816,0.9030225341997686,0.9022763949860055
std,0.024741461510902514,0.1739252713092609,0.18234252445962645,0.22486176922291057,0.1807649431022417,0.2268688971641232,0.15149381382708407,0.20665610388104885,0.025102919508850303,0.035102661941574,0.03696394986748983,0.030299026571710075,0.02443206319783545,0.02580629708136285
min,0.855555555555556,0.2,0.25,0.125,0.3,0.1,0.272727272727273,0.111111111111111,0.845360824742268,0.851063829787234,0.847826086956522,0.827586206896552,0.863157894736842,0.847058823529412
25%,0.8874999999999997,0.41250000000000003,0.37896825396825373,0.32005494505494525,0.32005494505494525,0.363888888888889,0.429425837320574,0.3552631578947365,0.8929680567879326,0.8894927536231885,0.8825546903967372,0.8879525593008737,0.8845508982035928,0.88958396598846
50%,0.905555555555556,0.5,0.527777777777778,0.5,0.5227272727272725,0.599358974358974,0.473389355742297,0.50125313283208,0.903488372093023,0.9045454545454545,0.90614313629702,0.905094905094905,0.9030634170298975,0.90809485380843
75%,0.9236111111111113,0.5875,0.6500000000000002,0.636363636363636,0.6076388888888891,0.6590909090909092,0.5674603174603172,0.6294466403162052,0.9201612903225805,0.9346743295019158,0.9361111111111107,0.9181186868686865,0.924743289497388,0.9209617307517495
max,0.933333333333333,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.925925925925926,0.963414634146341,0.967032967032967,0.936170212765957,0.934065934065934,0.932584269662922
