train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.633333333333333,0.55,0.529411764705882,0.666666666666667,0.9,0.2,0.666666666666667,0.307692307692308,0.592307692307692,0.74,0.855555555555556,0.411111111111111,0.7,0.528571428571429
0.611111111111111,0.6,0.571428571428571,0.666666666666667,0.8,0.4,0.666666666666667,0.5,0.590909090909091,0.642857142857143,0.722222222222222,0.5,0.65,0.5625
0.538888888888889,0.45,0.466666666666667,0.4,0.7,0.2,0.56,0.266666666666667,0.520710059171598,0.818181818181818,0.977777777777778,0.1,0.679536679536679,0.178217821782178
0.616666666666667,0.45,0.470588235294118,0.333333333333333,0.8,0.1,0.592592592592593,0.153846153846154,0.577777777777778,0.733333333333333,0.866666666666667,0.366666666666667,0.693333333333333,0.488888888888889
0.622222222222222,0.6,0.583333333333333,0.625,0.7,0.5,0.636363636363636,0.555555555555556,0.612244897959184,0.634146341463415,0.666666666666667,0.577777777777778,0.638297872340425,0.604651162790698
0.611111111111111,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.616279069767442,0.606382978723404,0.588888888888889,0.633333333333333,0.602272727272727,0.619565217391304
0.605555555555556,0.4,0.25,0.4375,0.1,0.7,0.142857142857143,0.538461538461538,0.626666666666667,0.59047619047619,0.522222222222222,0.688888888888889,0.56969696969697,0.635897435897436
0.644444444444444,0.55,0.545454545454545,0.555555555555556,0.6,0.5,0.571428571428571,0.526315789473684,0.622641509433962,0.675675675675676,0.733333333333333,0.555555555555556,0.673469387755102,0.609756097560976
0.588888888888889,0.55,0.538461538461538,0.571428571428571,0.7,0.4,0.608695652173913,0.470588235294118,0.568965517241379,0.625,0.733333333333333,0.444444444444444,0.640776699029126,0.51948051948052
0.6,0.6,0.5625,0.75,0.9,0.3,0.692307692307692,0.428571428571428,0.5625,0.75,0.9,0.3,0.692307692307692,0.428571428571428
