,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0,0.561111111111111,0.55,0.555555555555556,0.545454545454545,0.5,0.6,0.526315789473684,0.571428571428571,0.561797752808989,0.56043956043956,0.555555555555556,0.566666666666667,0.558659217877095,0.56353591160221
1,0.466666666666667,0.25,0.142857142857143,0.307692307692308,0.1,0.4,0.117647058823529,0.347826086956522,0.451612903225806,0.474576271186441,0.311111111111111,0.622222222222222,0.368421052631579,0.538461538461538
2,0.483333333333333,0.4,0.333333333333333,0.428571428571429,0.2,0.6,0.25,0.5,0.48,0.485714285714286,0.4,0.566666666666667,0.436363636363636,0.523076923076923
3,0.544444444444444,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.546511627906977,0.542553191489362,0.522222222222222,0.566666666666667,0.534090909090909,0.554347826086956
4,0.522222222222222,0.5,0.5,0.0,1.0,0.0,0.666666666666667,0.0,0.511627906976744,0.75,0.977777777777778,0.0666666666666667,0.67175572519084,0.122448979591837
5,0.516666666666667,0.3,0.166666666666667,0.357142857142857,0.1,0.5,0.125,0.416666666666667,0.518518518518518,0.515151515151515,0.466666666666667,0.566666666666667,0.491228070175439,0.53968253968254
6,0.566666666666667,0.5,0.5,0.5,0.2,0.8,0.285714285714286,0.615384615384615,0.611111111111111,0.547619047619048,0.366666666666667,0.766666666666667,0.458333333333333,0.638888888888889
7,0.55,0.6,0.555555555555556,1.0,1.0,0.2,0.714285714285714,0.333333333333333,0.529801324503311,0.655172413793103,0.888888888888889,0.211111111111111,0.663900414937759,0.319327731092437
8,0.6,0.45,0.444444444444444,0.454545454545455,0.4,0.5,0.421052631578947,0.476190476190476,0.583333333333333,0.625,0.7,0.5,0.636363636363636,0.555555555555556
9,0.572222222222222,0.45,0.4,0.466666666666667,0.2,0.7,0.266666666666667,0.56,0.644444444444444,0.548148148148148,0.322222222222222,0.822222222222222,0.42962962962963,0.657777777777778
mean,0.5383333333333333,0.4600000000000001,0.41984126984126996,0.46600732600732603,0.43000000000000005,0.49000000000000005,0.39733488132094935,0.4420829749960184,0.5438758922829233,0.5704374433541464,0.5511111111111113,0.5255555555555557,0.5248745625593856,0.5013103671816663
std,0.04128009979677642,0.11737877907772673,0.16036241882744856,0.2508166165562867,0.3433495141818157,0.2378141197564929,0.21982358339884853,0.18466722258878004,0.058682999013903885,0.08414187239340735,0.23407876225966145,0.22909435821448432,0.10619778446724697,0.16090627984810124
min,0.466666666666667,0.25,0.142857142857143,0.0,0.1,0.0,0.117647058823529,0.0,0.451612903225806,0.474576271186441,0.311111111111111,0.0666666666666667,0.368421052631579,0.122448979591837
25%,0.5180555555555558,0.41250000000000003,0.34999999999999976,0.375,0.2,0.42500000000000004,0.25416666666666676,0.36503623188405826,0.5133505598621875,0.5220019342359767,0.3750000000000002,0.5166666666666667,0.44185606060606025,0.5269230769230767
50%,0.547222222222222,0.475,0.472222222222222,0.460606060606061,0.30000000000000004,0.55,0.35338345864661647,0.488095238095238,0.5381564762051441,0.5478835978835981,0.4944444444444445,0.566666666666667,0.512659489633174,0.547015182884748
75%,0.565277777777778,0.5375000000000001,0.541666666666667,0.5340909090909087,0.575,0.6,0.581578947368421,0.5685714285714283,0.577949438202247,0.6088598901098901,0.663888888888889,0.6083333333333333,0.6169375317420007,0.5615408225905465
max,0.6,0.6,0.6,1.0,1.0,0.8,0.714285714285714,0.615384615384615,0.644444444444444,0.75,0.977777777777778,0.822222222222222,0.67175572519084,0.657777777777778
