,train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
57,0.965,0.425,0.363636363636364,0.448275862068966,0.2,0.65,0.258064516129032,0.530612244897959,0.96969696969697,0.96039603960396,0.96,0.97,0.964824120603015,0.965174129353234
58,0.745833333333333,0.4,0.433333333333333,0.3,0.65,0.15,0.52,0.2,0.728682170542636,0.765765765765766,0.783333333333333,0.708333333333333,0.755020080321285,0.735930735930736
59,0.755,0.575,0.6,0.56,0.45,0.7,0.514285714285714,0.622222222222222,0.747572815533981,0.762886597938144,0.77,0.74,0.758620689655172,0.751269035532995
60,0.704166666666667,0.4,0.333333333333333,0.428571428571429,0.2,0.6,0.25,0.5,0.692913385826772,0.716814159292035,0.733333333333333,0.675,0.712550607287449,0.695278969957082
61,0.845,0.6,0.611111111111111,0.590909090909091,0.55,0.65,0.578947368421053,0.619047619047619,0.841584158415842,0.848484848484849,0.85,0.84,0.845771144278607,0.844221105527638
62,0.765,0.525,0.529411764705882,0.521739130434783,0.45,0.6,0.486486486486486,0.558139534883721,0.738738738738739,0.797752808988764,0.82,0.71,0.777251184834123,0.751322751322751
63,0.835,0.4,0.3,0.433333333333333,0.15,0.65,0.2,0.52,0.838383838383838,0.831683168316832,0.83,0.84,0.834170854271357,0.835820895522388
64,0.86,0.525,0.515151515151515,0.571428571428571,0.85,0.2,0.641509433962264,0.296296296296296,0.891304347826087,0.833333333333333,0.82,0.9,0.854166666666667,0.865384615384615
65,0.86,0.525,0.52,0.533333333333333,0.65,0.4,0.577777777777778,0.457142857142857,0.86,0.86,0.86,0.86,0.86,0.86
66,0.775,0.4,0.433333333333333,0.3,0.65,0.15,0.52,0.2,0.766990291262136,0.783505154639175,0.79,0.76,0.778325123152709,0.771573604060914
67,0.845,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.83495145631068,0.855670103092783,0.86,0.83,0.847290640394089,0.842639593908629
68,0.825,0.425,0.421052631578947,0.428571428571429,0.4,0.45,0.41025641025641,0.439024390243902,0.821782178217822,0.828282828282828,0.83,0.82,0.825870646766169,0.824120603015075
69,0.815,0.6,0.590909090909091,0.611111111111111,0.65,0.55,0.619047619047619,0.578947368421053,0.8,0.831578947368421,0.84,0.79,0.819512195121951,0.81025641025641
